date,rank,song_name,song_id,album_name,artist,release_date
2021-11-17 17:30:02.13,1,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),Taylor Swift,2021-11-12
2021-11-17 17:30:02.13,2,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,2021-10-14
2021-11-17 17:30:02.13,3,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23
2021-11-17 17:30:02.13,4,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,MONTERO,Lil Nas X,2021-09-17
2021-11-17 17:30:02.13,5,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,The Lockdown Sessions,Elton John,2021-10-22
2021-11-17 17:30:02.13,6,Heat Waves,02MWAaffLxlfxAUY7c5dvx,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06
2021-11-17 17:30:02.13,7,Shivers,50nfwKoDiSYg8zOCREWAm5,=,Ed Sheeran,2021-10-29
2021-11-17 17:30:02.13,8,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,An Evening With Silk Sonic,Bruno Mars,2021-11-11
2021-11-17 17:30:02.13,9,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,Ed Sheeran,2021-10-29
2021-11-17 17:30:02.13,10,Pepas,2B4GHvToeLTOBB4QLzW3Ni,La 167,Farruko,2021-10-01
2021-11-17 17:30:02.13,11,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,2021-10-28
2021-11-17 17:30:02.13,12,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,One Right Now,Post Malone,2021-11-05
2021-11-17 17:30:02.13,13,MONEY,7hU3IHwjX150XLoTVmjD0q,LALISA,LISA,2021-09-10
2021-11-17 17:30:02.13,14,My Universe,46HNZY1i7O6jwTA7Slo2PI,Music Of The Spheres,Coldplay,2021-10-15
2021-11-17 17:30:02.13,15,Woman,6Uj1ctrBOjOas8xZXGqKk4,Planet Her,Doja Cat,2021-06-25
2021-11-17 17:30:02.13,16,All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,Red (Taylor's Version),Taylor Swift,2021-11-12
2021-11-17 17:30:02.13,17,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,CKay The First,CKay,2019-08-30
2021-11-17 17:30:02.13,18,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),Taylor Swift,2021-11-12
2021-11-17 17:30:02.13,19,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],CKay,2021-09-09
2021-11-17 17:30:02.13,20,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),15HMh4yxdf4wyxSZSlOgGZ,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16
